week_index,month_index,weekly_mean_error,weekly_p95_error,baseline_mean,baseline_p95,decision
8380,2095,0.0026846873,0.00268468726426363,0.002358785131946206,0.002593876922037452,🟡
8381,2095,0.0027003237,0.0027003237046301365,0.002358785131946206,0.002593876922037452,🟡
8382,2095,0.003066083,0.003066082950681448,0.002358785131946206,0.002593876922037452,🟡
8383,2095,0.0040484057,0.004048405680805445,0.002358785131946206,0.002593876922037452,🔴
8384,2096,0.004115007,0.004115006886422634,0.002358785131946206,0.002593876922037452,🟡
8385,2096,0.003859428,0.0038594279903918505,0.002358785131946206,0.002593876922037452,🔴
8386,2096,0.003702532,0.003702532034367323,0.002358785131946206,0.002593876922037452,🔴
8387,2096,0.0033867734,0.0033867734018713236,0.002358785131946206,0.002593876922037452,🔴
8388,2097,0.0042793876,0.004279387649148703,0.002358785131946206,0.002593876922037452,🟡
8389,2097,0.0056434036,0.005643403623253107,0.002358785131946206,0.002593876922037452,🔴
8390,2097,0.007438316,0.007438316009938717,0.002358785131946206,0.002593876922037452,🔴
8391,2097,0.010062946,0.010062946006655693,0.002358785131946206,0.002593876922037452,🔴
8392,2098,0.013501906,0.013501905836164951,0.002358785131946206,0.002593876922037452,🟡
8393,2098,0.016938776,0.016938775777816772,0.002358785131946206,0.002593876922037452,🔴
8394,2098,0.020606251,0.020606251433491707,0.002358785131946206,0.002593876922037452,🔴
8395,2098,0.024156846,0.0241568461060524,0.002358785131946206,0.002593876922037452,🔴
8396,2099,0.027793657,0.027793657034635544,0.002358785131946206,0.002593876922037452,🟡
8397,2099,0.031447746,0.031447745859622955,0.002358785131946206,0.002593876922037452,🔴
8398,2099,0.035672028,0.03567202761769295,0.002358785131946206,0.002593876922037452,🔴
8399,2099,0.04060274,0.04060273990035057,0.002358785131946206,0.002593876922037452,🔴
8400,2100,0.04549927,0.04549926891922951,0.002358785131946206,0.002593876922037452,🟡
8401,2100,0.051646315,0.051646314561367035,0.002358785131946206,0.002593876922037452,🔴
